YEAR,TRIAL_SHORT,LOC_SHORT,TRT,REPS,SAMPLING,TRIAL_CODE
22,IND,CLW,4.0,4.0,"Book,CB,HI,HD,ST,GR",3
22,IND,CDL,4.0,4.0,"Book,CB,HI,HD,ST,GR",3
22,IND,PRS,4.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,Bio1,AB,6.0,5.0,"CB, HI",35
23,Bio2,AB,6.0,5.0,"CB, HI",36
23,Cl24,AB,48.0,3.0,"F10.5, CB",2
23,Clx2,AB,4.0,3.0,"F10.5, CB",1
23,IND,AB,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,KF.FMC,AB,12.0,3.0,"CB, HI",29
23,K.PM,AB,6.0,4.0,"CB, HI",27
23,K.Tan.S,AB,12.0,4.0,"CB, HI",31
23,NxF,AB,20.0,3.0,"HI, CB,ST,GR,Book",4
23,RAIN,AB,17.0,4.0,"Book,CB,HI",15
23,RAIN,AB,17.0,4.0,"F6, F10.5, SD, HI, CB, HI-CH, SD-CH, HI-GR, SD-GR",15
23,SP,AB,3.0,6.0,"CB, HI",5
23,TRIT,AB,6.0,3.0,"CB, HI",32
23,Clx2,BE.O,4.0,6.0,"F10.5, CB, HI",1
23,IND,BE.O,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,K.Scab,BE.O,18.0,4.0,"Book,CB,HI",30
23,SP,BE.O,3.0,6.0,"Book,CB,HI",5
23,Clx2,BE.S,4.0,3.0,"F10.5, CB, HI",1
23,IND,BE.S,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,K.PM,BE.S,6.0,4.0,"Book,CB,HI",27
23,NxF,BE.S,20.0,3.0,"HI, CB,ST,GR,Book",4
23,SP,BE.S,3.0,4.0,"Book,CB,HI",5
23,SAN,BE.S,8.0,5.0,"Book,CB,HI",25
23,TP,BE.S,50.0,3.0,"Book,CB,HI, GR",17
23,Bio3,HAYS,6.0,6.0,"Book,CB,HI",37
23,Clx2,HAYS,4.0,5.0,"F10.5, CB, HI",1
23,FMC,HAYS,8.0,5.0,"Book,CB,HI",18
23,GCIWM,HAYS,20.0,4.0,"Book,CB,HI",26
23,IND,HAYS,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,K.PM,HAYS,6.0,4.0,"Book,CB,HI",27
23,NxF,HAYS,20.0,4.0,"HI, CB,ST,GR,Book",4
23,SP,HAYS,3.0,4.0,"Book,CB,HI",5
23,SAN,HAYS,8.0,5.0,"Book,CB,HI",25
23,TP,HAYS,50.0,4.0,"Book,CB,HI, CH, GR",17
23,Clx2,HOI,4.0,5.0,"F10.5, CB, HI",1
23,FMC,HOI,8.0,5.0,"Book,CB,HI",18
23,GCIWM,HOI,20.0,4.0,"Book,CB,HI",26
23,IND,HOI,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,NxF,HOI,20.0,5.0,"HI, CB,ST,GR,Book",4
23,SP,HOI,3.0,5.0,"CB, HI",5
23,SAN,HOI,8.0,5.0,"Book,CB,HI",25
23,TP,HOI,50.0,4.0,"Book,CB,HI, GR",17
23,ALF 1.1,HUT1,36.0,4.0,WP,0
23,ALF 1.2,HUT1,36.0,4.0,WP,0
23,ALF 1.3,HUT1,36.0,4.0,WP,0
23,ALF 1.1,HUT2,36.0,4.0,WP,0
23,ALF 1.2,HUT2,36.0,4.0,WP,0
23,ALF 1.3,HUT2,36.0,4.0,WP,0
23,Clx2,HUT.E,4.0,6.0,"F10.5, CB, HI",1
23,DP,HUT.E,22.0,4.0,"CB, HI",10
23,FHS,HUT.E,22.0,4.0,"F2, CB",23
23,NxF,HUT.E,20.0,3.0,"HI, CB,ST,GR,Book",4
23,SP,HUT.E,3.0,3.0,"CB, HI",5
23,Bio1,HUT.O,6.0,6.0,"Book, CB, HI",35
23,Bio2,HUT.O,6.0,6.0,"Book, CB, HI",36
23,Bio3,HUT.O,6.0,6.0,"Book, CB, HI",37
23,Cl24,HUT.O,48.0,3.0,"F10.5, CB",2
23,Clx2,HUT.O,4.0,4.0,"F10.5, CB, HI",1
23,FMC,HUT.O,8.0,5.0,"Book,CB,HI",18
23,GCIWM,HUT.O,20.0,4.0,"Book, CB, HI, F070_WPB",26
23,IND,HUT.O,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,K.PM,HUT.O,6.0,4.0,"CB, HI",27
23,K.UFT,HUT.O,12.0,4.0,"CB, HI",28
23,NxF,HUT.O,20.0,4.0,"HI, CB,ST,GR,Book",4
23,SP,HUT.O,3.0,4.0,"CB, HI",5
23,TP,HUT.O,50.0,4.0,"Book,CB,HI, GR",17
23,TRIT,HUT.O,6.0,3.0,"CB, HI",32
23,GO,HUT17,22.0,3.0,"CB, HI",12
23,IND,HUT17,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,SP,HUT17,3.0,3.0,"CB, HI",5
23,Clx2,LEO,4.0,5.0,"F10.5, CB, HI",1
23,GCIWM,LEO,20.0,4.0,"Book,CB,HI",26
23,HPD,LEO,20.0,4.0,"Book,CB,HI",33
23,IND,LEO,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,NxF,LEO,20.0,4.0,"HI, CB,ST,GR,Book",4
23,SP,LEO,3.0,5.0,"CB, HI",5
23,SAN,LEO,8.0,5.0,"Book,CB,HI",25
23,TP,LEO,50.0,4.0,"Book,CB,HI,CH, GR",17
23,Clx2,MNH,4.0,6.0,"F10.5, CB, HI",1
23,GCIWM,MNH,20.0,4.0,"Book,CB,HI",26
23,IND,MNH,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,K.Scab,MNH,18.0,4.0,"Book,CB,HI",30
23,NxF,MNH,20.0,4.0,"HI, CB,ST,GR,Book",4
23,SP,MNH,3.0,6.0,"Book,CB,HI",5
23,Clx2,PHG,4.0,3.0,"F10.5, CB, HI",1
23,GCIWM,PHG,20.0,4.0,"Book,CB,HI",26
23,IND,PHG,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,NxF,PHG,20.0,4.0,"HI, CB,ST,GR,Book",4
23,SP,PHG,3.0,6.0,"Book,CB,HI",5
23,SAN,PHG,8.0,5.0,"Book,CB,HI",25
23,TP,PHG,50.0,3.0,"Book,CB,HI, GR",17
23,VD,PHG,6.0,1.0,"Book,CB,HI",34
23,ALF,HUT2,36.0,4.0,"WP3.1, WP3.2, WP3.3, WP4.1, WP4.2,WP4.3, WP5.1, WP5.2, WP5.3",35
23,ALF,HUT1,36.0,4.0,"WP3.1, WP3.2, WP3.3, WP4.1, WP4.2,WP4.3, WP5.1, WP5.2, WP5.3",35
24,K.PM,AB,6.0,4.0,PS,27
24,K.Tan.S,AB,12.0,4.0,PS,31
24,Clx2,AB,4.0,3.0,PS,1
24,Cl24,AB,48.0,3.0,PS,2
24,N4R,AB,12.0,4.0,PS,36
24,NxF,AB,20.0,3.0,PS,4
24,NxV,AB,56.0,3.0,PS,37
24,PBIO,AB,6.0,4.0,"PS, F3",38
24,SP,AB,3.0,3.0,PS,5
24,K.Scab,BE.O,18.0,3.0,PS,30
24,HPD,BE.O,15.0,4.0,PS,33
24,K.PM,BE.S,6.0,4.0,PS,27
24,N4R,BE.S,12.0,3.0,PS,36
24,NxV,BE.S,56.0,3.0,PS,37
24,IND,BE.S,3.0,4.0,PS,3
24,Clx2,HAYS,4.0,4.0,PS,1
24,FMC,HAYS,8.0,4.0,PS,18
24,GCIWM,HAYS,20.0,4.0,PS,26
24,N4R,HAYS,12.0,4.0,PS,36
24,NxF,HAYS,20.0,4.0,PS,4
24,NxV,HAYS,56.0,4.0,PS,37
24,PBIO,HAYS,6.0,8.0,"PS, F3",38
24,SP,HAYS,3.0,4.0,PS,5
24,Clx2,HOI,4.0,4.0,PS,1
24,DEMO,HOI,28.0,1.0,PS,39
24,FMC,HOI,8.0,4.0,PS,18
24,GCIWM,HOI,20.0,4.0,PS,26
24,N4R,HOI,12.0,4.0,PS,36
24,NxF,HOI,20.0,4.0,PS,4
24,NxV,HOI,56.0,4.0,PS,37
24,SP,HOI,3.0,4.0,PS,5
24,Clx2,HUT.23BE,4.0,3.0,PS,1
24,DP,HUT.23BE,22.0,4.0,PS,10
24,FHS,HUT.23BE,22.0,4.0,PS,23
24,FMC,HUT.23BE,8.0,4.0,PS,18
24,SP,HUT.23BE,3.0,3.0,PS,5
24,K.ST2,HUT.23BO,14.0,3.0,PS,41
24,GO,HUT.23BO,22.0,3.0,PS,12
24,NxF,HUT.23BO,20.0,3.0,PS,4
24,IND,HUT.23BO,3.0,4.0,PS,3
24,Clx2,LEO,4.0,4.0,PS,1
24,HPD,LEO,20.0,4.0,PS,33
24,GCIWM,LEO,20.0,4.0,PS,26
